"id","name","population","lat","lon","admin_area","poi.pointOfInterest"
1200012,"Boquim",25190,-11.1450175,-37.6204228,"Boquim",115.77479799415714
1200010,"Poço Verde",21721,-10.7108776,-38.1766851,"Poço Verde",4740.612046997329
