"id","name","population","lat","lon","admin_area","poi.pointOfInterest"
2000016,"Arauá",11980,-11.2644014,-37.6181058,"Arauá",753.931549596274
200005,"Cristinápolis",16365,-11.4755122,-37.7560258,"Cristinápolis",1031.9461345604
